r,theoretical,observed_1,simulation_mean_1,simulation_low_1,simulation_high_1,observed_2,simulation_mean_2,simulation_low_2,simulation_high_2,observed_3,simulation_mean_3,simulation_low_3,simulation_high_3,observed_4,simulation_mean_4,simulation_low_4,simulation_high_4
5.9,109.358840271461,99.2,105.568,60.8,147.2,108.8,115.936,64,147.2,96,102.176,57.6,128,252.8,252.352,188.8,294.4
5.95,111.220233918713,99.2,105.568,60.8,147.2,108.8,116.96,67.2,147.2,102.4,104.064,57.6,128,252.8,254.144,192,297.6
6,113.097335529233,99.2,106.496,60.8,147.2,112,120.736,70.4,150.4,105.6,104.832,57.6,128,256,255.968,195.2,297.6
6.05,114.99014510302,99.2,107.36,60.8,150.4,115.2,122.656,73.6,153.6,108.8,105.696,57.6,128,259.2,256.928,195.2,297.6
6.1,116.898662640076,99.2,109.12,60.8,153.6,118.4,125.312,76.8,156.8,108.8,105.696,57.6,128,265.6,261.088,204.8,304
6.15,118.8228881404,99.2,110.016,64,153.6,121.6,128.832,80,166.4,108.8,105.696,57.6,128,268.8,263.808,208,307.2
6.2,120.762821603992,99.2,110.016,64,153.6,131.2,131.712,80,172.8,108.8,105.696,57.6,128,275.2,267.36,211.2,310.4
6.25,122.718463030851,99.2,111.104,67.2,153.6,134.4,132.768,80,176,112,106.624,57.6,128,278.4,269.984,211.2,313.6
6.3,124.689812420979,99.2,111.104,67.2,153.6,140.8,136.768,86.4,185.6,112,107.488,60.8,131.2,278.4,271.84,211.2,316.8
6.35,126.676869774374,102.4,112.768,67.2,160,147.2,140.704,92.8,185.6,112,107.488,60.8,131.2,284.8,274.528,211.2,320
6.4,128.679635091038,102.4,112.768,67.2,160,147.2,145.12,96,198.4,115.2,108.224,60.8,134.4,291.2,278.4,214.4,323.2
6.45,130.698108370969,102.4,112.768,67.2,160,153.6,147.904,99.2,201.6,118.4,109.216,60.8,137.6,291.2,285.056,220.8,332.8
6.5,132.732289614169,102.4,114.368,67.2,163.2,156.8,150.72,102.4,201.6,118.4,109.216,60.8,137.6,291.2,287.936,224,336
6.55,134.782178820636,105.6,115.296,67.2,163.2,163.2,155.424,108.8,204.8,121.6,110.944,60.8,144,291.2,290.048,224,339.2
6.6,136.847775990371,108.8,116.288,67.2,163.2,163.2,156.352,108.8,208,124.8,111.712,60.8,144,291.2,291.744,224,339.2
6.65,138.929081123375,108.8,116.288,67.2,163.2,166.4,159.2,115.2,208,124.8,111.712,60.8,144,291.2,292.608,227.2,339.2
6.7,141.026094219646,108.8,118.496,70.4,163.2,166.4,160.224,118.4,208,124.8,111.712,60.8,144,294.4,295.584,230.4,345.6
6.75,143.138815279185,112,121.152,70.4,166.4,172.8,163.936,118.4,211.2,128,112.672,60.8,144,294.4,296.608,230.4,345.6
6.8,145.267244301992,112,122.848,73.6,166.4,172.8,166.272,121.6,211.2,137.6,115.264,60.8,153.6,294.4,299.072,230.4,345.6
6.85,147.411381288067,112,122.848,73.6,166.4,172.8,168.96,124.8,214.4,140.8,116.064,60.8,153.6,294.4,299.904,230.4,348.8
6.9,149.57122623741,112,123.776,73.6,169.6,179.2,172.544,124.8,217.6,144,117.056,60.8,153.6,294.4,301.632,233.6,348.8
6.95,151.746779150021,112,125.568,73.6,169.6,182.4,176.384,124.8,217.6,147.2,117.76,60.8,153.6,294.4,303.488,233.6,352
7,153.9380400259,115.2,127.36,76.8,169.6,182.4,179.552,124.8,217.6,147.2,117.76,60.8,153.6,300.8,306.24,236.8,355.2
7.05,156.145008865047,115.2,129.216,80,169.6,185.6,182.208,128,224,147.2,118.624,60.8,156.8,300.8,306.24,236.8,355.2
